material_id,structure_type,band_gap,density,volume,nsites,avg_atomic_volume,dopant_count,volume_per_site,structural_factor,doping_structural_coupling,density_volume_ratio,compactness,coordination_factor,dimensional_factor,confinement_parameter,Zn_fraction,O_fraction,Zn_O_ratio,avg_electronegativity,electronegativity_difference,avg_atomic_radius,avg_valence_electrons,ionic_radius_mismatch,is_mg,mg_lattice_strain,mg_electronegativity_diff,mg_size_mismatch,mg_bond_energy_diff,dataset_split
mp-aaaewebl,Bulk ZnO,2.1681999999999997,4.993550189789197,120.64746730759434,11,10.967951573417666,2,10.967951573417666,0,0.0,0.041389598150933335,0.09117472787021023,2.226144145622067,24.392505933609293,0.09117471955738,0.18181818181818182,0.5454545454545454,0.33333333333333337,2.628181818181818,2.13,0.9636363636363636,4.181818181818182,0.41514793822009993,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Test
mp-aaaewech,Bulk ZnO,0.6231,4.988728702246818,120.16029546343955,11,10.92366322394905,2,10.92366322394905,0,0.0,0.041517280587618964,0.0915443820903961,2.2291486110868277,24.294009526146912,0.09154437371002298,0.18181818181818182,0.5454545454545454,0.33333333333333337,2.577272727272727,2.13,0.9636363636363636,4.181818181818182,0.41514793822009993,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Training
mp-aaaewect,2D ZnO,2.5498000000000003,4.599460204203379,196.68519856869545,11,17.88047259715413,3,17.88047259715413,1,50.0,0.02338488222639155,0.055926933394319825,1.8914816205853466,39.765815066041014,0.05592693026649812,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.5327272727272723,2.49,1.0727272727272728,4.181818181818182,0.518024721591458,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewecw,Bulk ZnO,0.8502999999999998,6.789752831964251,129.83965943737437,11,11.80360540339767,3,11.80360540339767,0,0.0,0.05229336599761459,0.084719877175168,2.172318809223896,26.250983414092815,0.08471986999771103,0.18181818181818182,0.5454545454545454,0.33333333333333337,2.706363636363636,2.13,0.9636363636363636,4.181818181818182,0.415737066726563,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Training
mp-aaaewedd,Bulk ZnO,0.6458000000000004,6.35045962166476,129.14466018331876,11,11.740423653028978,3,11.740423653028978,0,0.0,0.049173226462870284,0.08517580196026438,2.176208658358903,26.110468459185526,0.08517579470534777,0.18181818181818182,0.5454545454545454,0.33333333333333337,2.6809090909090907,2.13,0.9545454545454546,4.181818181818182,0.4090806018074673,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Training
mp-aaaewedg,2D ZnO,0.5507999999999997,5.583526140660379,193.76727335709265,11,17.615206668826605,3,17.615206668826605,1,50.0,0.028815630441217644,0.05676913242066507,1.9009289107765581,39.17586892273421,0.056769129197930854,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.6527272727272724,2.13,1.0045454545454544,4.727272727272727,0.4464300265849162,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewedh,2D ZnO,0.3883000000000001,5.84828541332742,190.94748875317237,11,17.35886261392476,3,17.35886261392476,1,50.0,0.030627715774189556,0.05760746094031702,1.9102404395444597,38.6057648482967,0.05760745762169765,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.5290909090909093,2.34,1.0863636363636364,4.454545454545454,0.5129236124086308,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewehq,Bulk ZnO,2.0656,3.529533230074115,135.30403187435323,10,13.530403187435322,2,13.530403187435322,0,0.0,0.026085942755584176,0.07390762759594817,1.947883986466504,29.150369997128635,0.07390762213361117,0.1,0.6,0.16666666666666669,2.686,2.13,0.915,4.3999999999999995,0.4240169559463419,1,23.0,15.5,23.0,6700.0,Test
mp-aaaewemo,2D ZnO,0.44840000000000035,5.4865943323718565,177.13766910842568,11,16.103424464402334,3,16.103424464402334,1,50.0,0.03097361707414994,0.062098592893118164,1.9586449175182388,35.81369539881764,0.062098589036883166,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.5318181818181817,2.34,1.0727272727272728,4.454545454545454,0.5091803012130779,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewenk,2D ZnO,0.2509000000000001,6.101279182818517,177.3242304729319,11,16.120384588448356,3,16.120384588448356,1,50.0,0.034407475879332024,0.062033259474255115,1.9579577850833538,35.85141437702958,0.06203325562613006,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.6527272727272724,2.13,1.0045454545454544,4.727272727272727,0.4464300265849162,1,23.0,15.5,23.0,6700.0,Training
mp-aaaewenm,Bulk ZnO,0.8659000000000003,6.81153471452144,129.42445899699476,11,11.765859908817704,3,11.765859908817704,0,0.0,0.05262942389181325,0.08499166297658946,2.1746393003943676,26.167038185638283,0.08499165575300731,0.18181818181818182,0.5454545454545454,0.33333333333333337,2.706363636363636,2.13,0.9636363636363636,4.181818181818182,0.415737066726563,1,15.333333333333332,10.333333333333332,15.333333333333332,4466.666666666666,Training
mp-aaaewenn,2D ZnO,1.1465999999999998,5.88244929359452,183.92077551300156,11,16.72007050118196,3,16.72007050118196,1,50.0,0.031983604229521546,0.059808360253583194,1.9342640285400228,37.185103907544,0.059808356676543446,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.6527272727272724,2.13,1.0045454545454544,4.727272727272727,0.4464300265849162,1,23.0,15.5,23.0,6700.0,Training
mp-aaaeweno,2D ZnO,0.9382999999999999,6.102929451252617,175.2808357223607,11,15.934621429305519,3,15.934621429305519,1,50.0,0.03481800749124373,0.0627564328676733,1.9655369239364853,35.438280809534646,0.06275642892930368,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.5218181818181815,2.55,1.1,4.181818181818182,0.5475167628111347,1,23.0,15.5,23.0,6700.0,Training
mp-aaaeweou,Bulk ZnO,2.0822000000000003,6.0415099318426,149.73835246127723,11,13.612577496479748,3,13.612577496479748,0,0.0,0.04034711102758361,0.07346147342475022,2.0714844062968867,30.27410133350286,0.07346146802816256,0.09090909090909091,0.5454545454545454,0.16666666666666669,2.5327272727272723,2.49,1.0727272727272728,4.181818181818182,0.518024721591458,1,23.0,15.5,23.0,6700.0,Training
